age_group,job_title,annual_salary_usd,compensation_usd,currency,country,state,city,overall_exp,field_exp,degree,gender,job_category,career_level
35-44,Associate Professor,101000.0,0.0,USD,United States,Maryland,Baltimore,15.5,15.5,PhD,Woman,Education & Training,Lead/Executive
35-44,Molecular Biologist,70000.0,3200.0,USD,United States,California,Davis,15.5,15.5,College,Woman,Scientist,Lead/Executive
35-44,Molecular Biologist,70000.0,3200.0,USD,United States,California,Davis,15.5,15.5,College,Woman,Scientist,Lead/Executive
25-34,Business Analyst,92700.0,9270.0,USD,United States,New York,"New York, Ny",3.0,3.0,College,Woman,Analytics,Mid Level
35-44,Instructional Designer,64000.0,0.0,USD,United States,Texas,Remote,15.5,6.0,Masters,Woman,Engineering & Development,Lead/Executive
25-34,Policy Analyst,94500.0,6000.0,USD,United States,Massachusetts,Boston,3.0,3.0,Masters,Woman,Analytics,Mid Level
35-44,Director Legal Counsel,215000.0,40000.0,USD,United States,Massachusetts,Cambridge,15.5,9.0,Professional Degree,Woman,Management,Lead/Executive
35-44,High School English Teacher,87593.0,0.0,USD,United States,Texas,Conroe,15.5,15.5,Masters,Woman,Education & Training,Lead/Executive
35-44,Training Specialist,64935.0,0.0,AUD,Australia,N/A,Sydney,15.5,9.0,College,Woman,Specialist,Lead/Executive
35-44,Obgyn,175000.0,80000.0,USD,United States,Virginia,Manassas,9.0,9.0,Professional Degree,Woman,Unclassifiable,Senior
45-54,Outpatient Behavioral Health Rn,60000.0,8000.0,USD,United States,Oklahoma,Oklahoma City,6.0,6.0,College,Man,Social Services,Senior
35-44,Wedding Photographer,55000.0,0.0,USD,United States,Vermont,Burlington,15.5,9.0,College,Woman,Creative & Media,Lead/Executive
25-34,Ux Designer,67000.0,2000.0,USD,United States,New York,Rochester,3.0,3.0,College,Woman,Engineering & Development,Mid Level
25-34,Financial Manager,115000.0,1500.0,USD,United States,Maryland,Laurel,15.5,15.5,College,Woman,Management,Lead/Executive
35-44,Director Of Housekeeping,77000.0,0.0,USD,United States,Tennessee,Nashville,25.5,15.5,College,Man,Management,Lead/Executive
35-44,Software Test Engineer,67000.0,2500.0,USD,United States,Texas,San Antonio,25.5,6.0,Masters,Woman,Engineering & Development,Lead/Executive
35-44,Senior Consultant,127500.0,5000.0,USD,United States,Connecticut,Hartford,25.5,15.5,College,Woman,Consulting & Strategy,Lead/Executive
